url,photo_list,title,current_bid,shipping_cost,user_name,user_rating
https://www.ebay.com/itm/gents-gruen-watch-co-25mm-movement-for-repair/113950679509?hash=item1a87fd61d5%3Ag%3AeEkAAOSw3RtbRb0L&LH_Auction=1&LH_ItemCondition=10%7C3000,"https://i.ebayimg.com/images/g/eEkAAOSw3RtbRb0L/s-l1600.jpg,https://i.ebayimg.com/images/g/doMAAOSwlVJbRb0f/s-l1600.jpg",gents gruen watch co 25mm movement for repair ,0.99,10.00,peter.roberts383,1327
https://www.ebay.com/itm/Mens-Ellesse-Fashion-Watch-working-condition-fair-condition/153711853165?hash=item23c9f0be6d%3Ag%3AQiMAAOSwC6ldwX5s&LH_Auction=1&LH_ItemCondition=10%7C3000,"https://i.ebayimg.com/images/g/QiMAAOSwC6ldwX5s/s-l1600.jpg,https://i.ebayimg.com/images/g/k8QAAOSwfBVdwX5u/s-l1600.jpg,https://i.ebayimg.com/images/g/n5cAAOSwnY1dwX5v/s-l1600.jpg,https://i.ebayimg.com/images/g/uWEAAOSwJ~hdwX5x/s-l1600.jpg"," mens ellesse fashion watch, working condition, fair condition ",50.0,23.13,johng2701,119
https://www.ebay.com/itm/Breitling-B69-Avenger-e-altri/254411868176?hash=item3b3c210810%3Ag%3AHTwAAOSwBpVdLXsP&LH_Auction=1&LH_ItemCondition=10%7C3000,"https://i.ebayimg.com/images/g/HTwAAOSwBpVdLXsP/s-l1600.jpg,https://i.ebayimg.com/images/g/q8MAAOSwZbFdLXsg/s-l1600.jpg",breitling b69 avenger e altri,200.0,20.00,tonycartiera,1500
https://www.ebay.com/itm/Childs-Undercover-Watch/323970555205?hash=item4b6e265d45%3Ag%3AXpcAAOSw9NhbC8%7E0&LH_Auction=1&LH_ItemCondition=10%7C3000,"https://i.ebayimg.com/images/g/XpcAAOSw9NhbC8~0/s-l1600.jpg,https://i.ebayimg.com/images/g/hnEAAOSwF25bC8~3/s-l1600.jpg,https://i.ebayimg.com/images/g/W~cAAOSw3pZbC8~6/s-l1600.jpg",childs undercover watch,1.99,22.68,oldalmondburian,879
https://www.ebay.com/itm/Mens-fossel-watches/113950674101?hash=item1a87fd4cb5%3Ag%3AVL0AAOSw5mFdvYio&LH_Auction=1&LH_ItemCondition=10%7C3000,"https://i.ebayimg.com/images/g/VL0AAOSw5mFdvYio/s-l1600.jpg,https://i.ebayimg.com/images/g/dNwAAOSwnO1dvYi9/s-l1600.jpg,https://i.ebayimg.com/images/g/E8EAAOSwoQddvYjW/s-l1600.jpg",mens fossel watches,40.0,22.94,davidh8353,831
https://www.ebay.com/itm/montre-ancienne-mecanique-AURORE-plaque-or-des-annees-1960-Old-Watch/392519608776?hash=item5b63fde9c8%3Ag%3Alk0AAOSwVkZdwXvQ&LH_Auction=1&LH_ItemCondition=10%7C3000,"https://i.ebayimg.com/images/g/lk0AAOSwVkZdwXvQ/s-l1600.jpg,https://i.ebayimg.com/images/g/YlgAAOSwA5RdwXv~/s-l1600.jpg,https://i.ebayimg.com/images/g/zx8AAOSwY8ZdwXvz/s-l1600.jpg,https://i.ebayimg.com/images/g/sS4AAOSwsnVdwXvm/s-l1600.jpg,https://i.ebayimg.com/images/g/FgQAAOSwljFdwXu0/s-l1600.jpg,https://i.ebayimg.com/images/g/yfoAAOSwWZVdwXu-/s-l1600.jpg,https://i.ebayimg.com/images/g/lZoAAOSwGrpdwXvc/s-l1600.jpg",montre ancienne mã©canique aurore plaquã© or des annã©es 1960 old watch ,29.0,7.50,littlebrocante,258
https://www.ebay.com/itm/Junghans-Mega-1-Lcd-Radio-Controlled-1994/143432890209?hash=item2165443761%3Ag%3AKjAAAOSwdbRdwXwx&LH_Auction=1&LH_ItemCondition=10%7C3000,"https://i.ebayimg.com/images/g/KjAAAOSwdbRdwXwx/s-l1600.jpg,https://i.ebayimg.com/images/g/-QEAAOSw92JdwXw2/s-l1600.jpg,https://i.ebayimg.com/images/g/loQAAOSwt95dwXw7/s-l1600.jpg,https://i.ebayimg.com/images/g/ZBUAAOSwfkpdwXxB/s-l1600.jpg,https://i.ebayimg.com/images/g/F1sAAOSw4cFdwXxG/s-l1600.jpg,https://i.ebayimg.com/images/g/GMUAAOSwX5hdwXxK/s-l1600.jpg,https://i.ebayimg.com/images/g/JcwAAOSw505dwXxQ/s-l1600.jpg,https://i.ebayimg.com/images/g/Lb0AAOSwy6JdwXxV/s-l1600.jpg,https://i.ebayimg.com/images/g/LDUAAOSwOFFdwXxZ/s-l1600.jpg,https://i.ebayimg.com/images/g/IMwAAOSwfiddwXxd/s-l1600.jpg,https://i.ebayimg.com/images/g/2noAAOSwJfFdwXxi/s-l1600.jpg,https://i.ebayimg.com/images/g/N5MAAOSwMLtdwXxo/s-l1600.jpg",junghans mega 1 lcd radio controlled 1994,50.0,12.50,svcap888,1239
https://www.ebay.com/itm/Montre-femme-Ancienne-mecanique-HAMILTON-SWISS-vintage-watch-orologio/362803412778?hash=item5478c4bf2a%3Ag%3AxeEAAOSwJO9dQGsS&LH_Auction=1&LH_ItemCondition=10%7C3000,"https://i.ebayimg.com/images/g/xeEAAOSwJO9dQGsS/s-l1600.jpg,https://i.ebayimg.com/images/g/amMAAOSwSkhdQGr8/s-l1600.jpg,https://i.ebayimg.com/images/g/4XEAAOSwZ6ddQKjG/s-l1600.jpg,https://i.ebayimg.com/images/g/yUoAAOSwlCFdQGr8/s-l1600.jpg",montre femme  ancienne mã©canique  hamilton  swiss vintage watch orologio,55.0,13.00,benlig0,9
https://www.ebay.com/itm/Lipsy-London-Watch-In-Box/283665420332?hash=item420bc6d02c%3Ag%3ARoUAAOSwOzddwYH7&LH_Auction=1&LH_ItemCondition=10%7C3000,"https://i.ebayimg.com/images/g/RoUAAOSwOzddwYH7/s-l1600.jpg,https://i.ebayimg.com/images/g/hpcAAOSwERFdwYIB/s-l1600.jpg,https://i.ebayimg.com/images/g/VC8AAOSwJ5BdwYII/s-l1600.jpg,https://i.ebayimg.com/images/g/piQAAOSwq~BdwYIN/s-l1600.jpg,https://i.ebayimg.com/images/g/xGgAAOSw0fZdwYIV/s-l1600.jpg,https://i.ebayimg.com/images/g/zh8AAOSwNlldwYIZ/s-l1600.jpg",lipsy london watch in box,10.0,22.96,beccix1990x,360
https://www.ebay.com/itm/G-shock-watch/174087012841?hash=item28886501e9%3Ag%3A73oAAOSw5v9dwYIA&LH_Auction=1&LH_ItemCondition=10%7C3000,"https://i.ebayimg.com/images/g/73oAAOSw5v9dwYIA/s-l1600.jpg,https://i.ebayimg.com/images/g/gtQAAOSwrAxdwYIB/s-l1600.jpg",g shock watch,12.0,23.00,csta7154,121
